company,cnbc_link,cnbc_sum,Founders,Launched,Headquarters,Funding,Valuation,Industry,Previous appearances on Disruptor 50 List,Founder,Key technologies,CEO
Grab,https://www.cnbc.com/id/106539947,Southeast Asia's super app,"Anthony Tan (CEO), Tan Hooi Ling",2012,Singapore,$10.3 billion (PitchBook),$14.9 billion (PitchBook),"Public transportation, taxi and limousine services, food delivery, payments and financial services",3,0,"AI, facial recognition, machine learning",0
Lemonade,https://www.cnbc.com/id/106539948,A.I.-ing the end of the insurance agent,"Daniel Schreiber (CEO), Shai Wininger",2015,New York City,$480 million,$2.1 billion (PitchBook),"Insurance, financial services",1,0,"AI, machine learning",0
Root Insurance,https://www.cnbc.com/id/106539951,Replacing demographics with real driver data,"Alex Timm (CEO), Dan Manges",2015,"Columbus, Ohio",$527.5 million,$3.6 billion,"Auto insurance, financial services",0,0,"AI, cloud computing, machine learning, software-defined security",0
Healthy.io,https://www.cnbc.com/id/106539954,Home-based health testing,0,2013,"Tel Aviv, Israel",$95 million,N/A,Medical testing,0,Yonatan Adiri (CEO),"AI, cloud computing, deep learning, machine learning",0
GoodRx,https://www.cnbc.com/id/106539955,Technology tackling the high cost of health care,"Doug Hirsch (co-CEO), Trevor Bezdek (co-CEO), Scott Marlette",2011,"Santa Monica, California",$178.7 million (PitchBook),$2.8 billion (PitchBook),"Online pharmacy, health care, insurance",1,0,"AI, machine learning",0
Eat JUST,https://www.cnbc.com/id/106539957,"Just the egg, no chicken","Josh Tetrick (CEO), Josh Balk",2011,San Francisco,$300 million,$1.2 billion,Food and agriculture,2,0,0,0
goPuff,https://www.cnbc.com/id/106539965,The convenience store gets more convenient,"Yakir Gola, Rafael Ilishayev (co-CEOs)",2013,Philadelphia,$1 billion,N/A,"Retail, logistics",0,0,"Cloud computing, Internet of Things, software-defined security",0
Affirm,https://www.cnbc.com/id/106539968,Building new credit history,"Max Levchin (CEO), Nathan Gettings, Jeff Kaditz",2012,San Francisco,$800 million,$2.9 billion (PitchBook),"E-commerce, financial services, fintech",1,0,"Machine learning, software-defined security",0
Kabbage,https://www.cnbc.com/id/106539969,A main street lending lifeline,"Rob Frohwein (CEO), Kathryn Petralia, Marc Gorlin",2009,Atlanta,$489 million,$1.1 billion (PitchBook),"Credit, financial services, lending",2,0,"Artificial intelligence, machine learning",0
Chime,https://www.cnbc.com/id/106539974,No-fee banking,"Chris Britt (CEO), Ryan King",2013,San Francisco,$805 million,$5.8 billion,"Banking, fintech",0,0,"Cloud computing, machine learning",0
Dave,https://www.cnbc.com/id/106539977,Taking down the overdraft Goliath,"Jason Wilk (CEO), Paras Chitrakar, Dr. John Wolanin",2016,Los Angeles,$76.3 million,$1.2 billion,"Mobile banking, fintech",0,0,"AI, explainable AI, machine learning",0
Trulioo,https://www.cnbc.com/id/106539979,Verification for a more virtual world,"Stephen Ufford, Tanis Jorge",2011,Vancouver,$96.6 million,N/A,"Security, online identity management",1,0,Cloud computing,Steve Munford
Ripple,https://www.cnbc.com/id/106539981,A crypto answer to money transfer,"Chris Larsen, Arthur Britto",2012,San Francisco,$293 million,$10 billion,Money transfers,0,0,Blockchain,Brad Garlinghouse
TALA,https://www.cnbc.com/id/106539983,Making microloans add up to a billion,0,2011,"Santa Monica, California",$317.2 million (PitchBook),$560 million (PitchBook),Financial services,0,Shivani Siroya (CEO),"AI, deep learning, machine learning",0
Didi Chuxing,https://www.cnbc.com/id/106539985,Riding a post-Covid pickup in China,0,2012,Beijing,$23.2 billion (PitchBook),$57.6 billion (PitchBook),"Public transportation, taxi and limousine services",2,Cheng Wei (CEO),"AI, autonomous vehicles, deep learning, Internet of Things, machine learning",0
SentinelOne,https://www.cnbc.com/id/106539986,Cybercrime is up; so are defenses,"Tomer Weingarten (CEO), Almog Cohen",2013,"Mountain View, California",$430 million,$1.1 billion,Cybersecurity,0,0,"AI, cloud computing, machine learning, Internet of Things, software-defined security",0
Butterfly Network,https://www.cnbc.com/id/106539988,A smarter ultrasound,0,2011,"Guilford, Connecticut",$370 million,$1 billion,Medical imaging,0,Jonathan Rothberg,"AI, augmented reality, deep learning, machine learning",Laurent Faracci
Marqeta,https://www.cnbc.com/id/106562109,Paying with a full deck of cards,0,2010,"Oakland, California",$525 million,$4.3 billion,Payments,0,Jason Gardner (CEO),0,0
Apeel,https://www.cnbc.com/id/106539991,Ridding the world of rotten produce,"James Rogers (CEO), Louis Perez, Jenny Du",2012,"Goleta, California",$360 million,$1 billion,"Agriculture, food harvesting",2,0,"Nanotechnology, material science, shelf-life extension technology",0
K Health,https://www.cnbc.com/id/106539992,Primary (smartphone) care,"Allon Bloch (CEO), Ran Shaul, Israel Roth, Adam Singolda",2016,New York City,$97 million,$458 million (PitchBook),Telemedicine,0,0,"AI, machine learning",0
Databricks,https://www.cnbc.com/id/106539993,Data help for data nerds,"Ali Ghodsi (CEO), Matei Zaharia, Reynold Xin, Ion Stoica, Patrick Wendell, Andy Konwinski, Arsalan Tavakoli-Shiraji",2013,San Francisco,$897.4 million,$6.2 billion (PitchBook),Data science and machine learning,0,0,"AI, machine learning",0
C3.ai,https://www.cnbc.com/id/106539996,The world's biggest brains building an even bigger one,0,2009,"Redwood City, California",$387 million,$3.3 billion,"Artificial intelligence, big data",2,Thomas Siebel (CEO),"AI, cloud computing, deep learning, edge computing, explainable AI, IoT, machine learning",0
Attabotics,https://www.cnbc.com/id/106539997,Amazon's ant-size competition,0,2016,"Calgary, Alberta, Canada",$32.7 million,N/A,Warehousing,0,Scott Gravelle (CEO),Robotics,0
CLEAR,https://www.cnbc.com/id/106539998,Biometric screening for a new world of hidden dangers,"Caryn Seidman-Becker (CEO), Ken Cornick",2010,New York City,N/A,N/A,"Biometrics, security, tourism, travel",1,0,0,0
Snowflake,https://www.cnbc.com/id/106540000,A data warehouse in the cloud,"Benoit Dageville, Thierry Cruanes",2012,"San Mateo, California",$1.4 billion,$12.4 billion (PitchBook),"Enterprise tech, Big data",0,0,Cloud computing,Frank Slootman
Airbnb,https://www.cnbc.com/id/106540001,Your delayed destination,"Brian Chesky (CEO), Joe Gebbia, Nathan Blecharczyk",2008,San Francisco,$5 billion,$18 billion (PitchBook),"Hotels, travel, hospitality",7,0,0,0
Duolingo,https://www.cnbc.com/id/106540002,The universal language,"Luis von Ahn (CEO), Severin Hacker",2011,Pittsburgh,$148.3 million,$1.5 billion (PitchBook),Online language learning,2,0,"AI, cloud computing, machine learning",0
LanzaTech,https://www.cnbc.com/id/106540005,A carbon-capture moonshot,"Dr. Sean Simpson, Dr. Richard Foster",2005,Chicago,$395 million,$460 million (PitchBook),Carbon recycling,3,0,"AI, cloud computing, machine learning, nanotechnology, robotics, software-defined security",Dr. Jennifer Holmgren
Ginkgo Bioworks,https://www.cnbc.com/id/106540006,The world's most advanced manufacturing,"Jason Kelly (CEO), Tom Knight, Reshma Shetty, Barry Canton, Austin Che",2009,Boston,$920 million,$4.4 billion,"Fragrances, food ingredients, sweeteners",4,0,Robotics,0
Guild Education,https://www.cnbc.com/id/106540007,Upskilling America,"Rachel Carlson (CEO), Brittany Stich",2015,Denver,$228.5 million,$1 billion,Education,0,0,0,0
Robinhood,https://www.cnbc.com/id/106540009,The new bull market-makers,"Vlad Tenev (co-CEO), Baiju Bhatt (co-CEO)",2013,"Menlo Park, California",$1.1 billion,$8.3 billion,"Financial services, mobile",3,0,"Machine learning, software-defined security",0
Convoy,https://www.cnbc.com/id/106540026,A monster trucking problem solved,"Dan Lewis (CEO), Grant Goodale",2015,Seattle,$685 million,$2.7 billion (PitchBook),"Transportation, logistics",1,0,"Cloud computing, explainable AI, machine learning",0
Beautycounter,https://www.cnbc.com/id/106540027,A makeover for the cosmetics industry,0,2011,"Santa Monica, California",N/A,N/A,Skincare and beauty,0,Gregg Renfrew (CEO),0,0
Impossible Foods,https://www.cnbc.com/id/106540032,"Doesn't seem so impossible anymore, does it?",0,2011,"Redwood City, California",$1.3 billion,$2 billion (PitchBook),"Food and beverage, food processing, nutrition",2,Pat Brown (CEO),0,0
UiPath,https://www.cnbc.com/id/106540033,"The robots are coming for your boring, repetitive job","Daniel Dines (CEO), Marius Tirca",2005,New York City,$977.2 million,$7.1 billion,"Enterprise software, business automation",0,0,"Artificial intelligence, machine learning, robotics",0
